alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_ssssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_fr,"Energie, Règlement UE N° 1169/2011 (kcal/100g)","Energie, N x facteur Jones, avec fibres (kJ/100g)","Energie, N x facteur Jones, avec fibres (kcal/100g)",Eau (g/100g),Protéines (g/100g),"Protéines brutes, N x 6.25 (g/100g)",Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Amidon (g/100g),Fibres alimentaires (g/100g),Polyols totaux (g/100g),Cendres (g/100g),Alcool (g/100g),Acides organiques (g/100g),AG saturés (g/100g),AG monoinsaturés (g/100g),AG polyinsaturés (g/100g),"AG 4:0, butyrique (g/100g)","AG 6:0, caproïque (g/100g)","AG 8:0, caprylique (g/100g)","AG 10:0, caprique (g/100g)","AG 12:0, laurique (g/100g)","AG 14:0, myristique (g/100g)","AG 16:0, palmitique (g/100g)","AG 18:0, stéarique (g/100g)","AG 18:1 9c (n-9), oléique (g/100g)","AG 18:2 9c,12c (n-6), linoléique (g/100g)","AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g)","AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g)","AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g)","AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g)",Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Chlorure (mg/100g),Cuivre (mg/100g),Fer (mg/100g),Iode (µg/100g),Magnésium (mg/100g),Manganèse (mg/100g),Phosphore (mg/100g),Potassium (mg/100g),Sélénium (µg/100g),Sodium (mg/100g),Zinc (mg/100g),Rétinol (µg/100g),Beta-Carotène (µg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine K1 (µg/100g),Vitamine K2 (µg/100g),Vitamine C (mg/100g),Vitamine B1 ou Thiamine (mg/100g),Vitamine B2 ou Riboflavine (mg/100g),Vitamine B3 ou PP ou Niacine (mg/100g),Vitamine B5 ou Acide pantothénique (mg/100g),Vitamine B6 (mg/100g),Vitamine B9 ou Folates totaux (µg/100g),Vitamine B12 (µg/100g)
1,101,0,entrées et plats composés,salades composées et crudités,-,25600,"Céleri rémoulade, préemballé","Céleri rémoulade, préemballé",-,-,-,"78,5","1,12","1,12","4,19","12,8","2,38","1,3","2,87",0,"1,59",0,-,"1,08","7,73","3,67","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","0,013","0,66","0,22","4,64","1,69","1,03",-,-,"< 0,01","0,1",1,"28,6",616,"0,069","0,29",2,12,"0,11",35,315,< 10,395,"0,22",< 2,< 8,"< 0,5","3,4",-,-,"25,2","< 0,04","< 0,04","0,38","0,28","0,19",28,"< 0,08"
1,101,0,entrées et plats composés,salades composées et crudités,-,25601,"Salade de thon et légumes, appertisée, égouttée","Salade de thon et légumes, appertisée, égouttée",-,-,-,"76,5","9,15","9,15","7,74","4,7","3,08","4,1","2,7",0,"1,79",0,-,"0,56","1,83","1,76","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","0,008","0,38","0,12",-,"1,15","0,056",-,"0,008","0,039","19,2","1,11","20,7",731,"0,1","1,1",2,"25,1","0,1","88,4",232,-,445,"0,6",< 2,-,"< 0,5","1,6",-,-,"2,75","< 0,04","0,053","4,45","< 0,16","0,29",31,"1,45"
1,101,0,entrées et plats composés,salades composées et crudités,-,25602,"Salade composée avec viande ou poisson, appertisée, égouttée","Salade composée avec viande ou poisson, appertisée, égouttée",-,-,-,"76,7","8,06","8,06","6,4","5,3","1,9","3,3",2,0,"1,5",0,-,"0,16","3,27","1,54","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,12","0,04","2,24","1,08","0,28","0,016","0,016","0,15","15,2","0,95",22,584,"0,07","0,7",< 20,20,"0,1",92,220,30,381,"0,38",< 21,781,"0,44","2,04","9,75",-,-,"0,032","0,022","4,13","0,2","0,12","11,1","1,23"
1,101,0,entrées et plats composés,salades composées et crudités,-,25605,Champignon à la grecque,Champignon à la grecque,-,-,-,"84,6","2,08","2,08","3,95","3,55","2,38","0,28","2,35",0,"1,64",0,-,"0,23","1,74","1,43",-,-,-,-,-,-,-,-,-,-,"0,026",-,-,-,"0,11","1,26","22,6",-,"0,17","0,58","1,91","13,8","0,13","52,2",292,"1,79",500,"0,39",0,747,0,"1,47",-,-,"10,3","0,062","0,2","1,88","0,76","0,11","27,3","0,018"
1,101,0,entrées et plats composés,salades composées et crudités,-,25606,Salade de pommes de terre maison,Salade de pommes de terre maison,-,-,-,76,"2,68","2,68","9,9","8,2",-,-,"1,3",0,"1,95",0,-,"1,43","2,48","3,74",-,-,-,0,"0,011","0,013","1,03","0,37",-,-,-,-,-,-,68,"1,33",19,-,"0,12","0,65",-,15,"0,1",52,254,-,529,"0,31",29,36,0,-,-,-,10,"0,077","0,06","0,89","0,53","0,14",7,0
1,101,0,entrées et plats composés,salades composées et crudités,-,25608,"Taboulé ou Salade de couscous, préemballé","Taboulé ou Salade de couscous, préemballé",-,-,-,"66,4","4,29","4,29","22,2","5,65","3,82",13,"2,27",0,"1,23",0,-,"0,6","3,3","1,27","< 0,05","< 0,05","< 0,05","< 0,05","< 0,05","0,005","0,38","0,11",-,"1,03","0,23","< 0,0026","< 0,0026","< 0,0026","0,1","0,91","19,9",-,"0,12","0,72",2,"27,1","0,3","66,5",207,< 10,355,"0,46",0,-,0,"1,68",-,-,"14,5","0,09","0,04","0,83",-,"0,09",17,0
1,101,0,entrées et plats composés,salades composées et crudités,-,25609,"Salade de pomme de terre à la piémontaise, préemballée","Salade de pomme de terre à la piémontaise, préemballée",-,-,-,"74,9","4,11","4,11","7,98","9,28","1,17",-,"1,51",0,"1,5",0,-,"1,15","4,06","1,8","< 0,01","< 0,01","< 0,01","< 0,01","< 0,01","0,015","0,75","0,26","4,06","1,28","0,52",-,-,"< 0,01","34,2","0,97",-,-,-,-,"7,5",-,-,-,195,-,384,-,-,-,"0,5","2,07",-,-,"7,62",-,-,-,-,-,-,-
1,101,0,entrées et plats composés,salades composées et crudités,-,25614,Salade de riz,Salade de riz,-,-,-,"72,5","5,13","5,13","16,1","4,35",1,"14,3","1,7",0,"1,49",0,-,"0,53","2,23",-,-,-,-,-,"0,0042","0,0083","0,36","0,12","2,23","1,05","0,2",-,-,"0,013","6,5","1,1","23,3",-,"< 0,1","0,43",< 5,"13,1","0,1","66,6",143,"17,7",431,"0,3",< 2,34,"< 0,5","1,63",-,-,"4,48","0,058","0,045","2,65","0,14","0,13","33,5","0,43"
1,101,0,entrées et plats composés,salades composées et crudités,-,25615,"Salade de pâtes, végétarienne","Salade de pâtes, végétarienne",-,-,-,"73,9","5,7","5,7","12,9","8,1","2,3",10,"1,7",0,"0,73",0,-,"2,37","1,46","3,92",-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,"0,58",14,86,"0,06","0,6",4,11,"0,2",37,84,-,51,"0,4",7,1180,0,"1,95",-,-,21,"0,04","0,02","0,4",0,"0,09",16,0
1,101,0,entrées et plats composés,salades composées et crudités,-,25616,"Crudité, sans assaisonnement (aliment moyen)","Crudité, sans assaisonnement (aliment moyen)","22,3","93,4","22,3","93,7","1,03","1,03","2,5","0,53","2,01","0,25","1,51",,"0,72",0,,"0,095","0,2","0,13","0,00029",traces,"0,000035","0,00011","0,0002","0,0011","0,083","0,008","0,21","0,092","0,019",,traces,traces,"0,059","0,037","27,3","52,6","0,055","0,46","1,92","13,6","0,18","29,4",257,"3,38","14,8","0,19","0,012",1770,"0,074","0,47","45,3",,"14,6","0,044","0,041","0,53","0,22","0,087","39,3",0
